symbol,fund_name,observed_at,market_date,last_price,nav,nav_bubble
آتش,صندوق س.کالای کهکشان فیروزه,2025-05-18 12:00:00+03:30,2025-05-18,11489.0,11332.0,1.3854571126014823
آتش,صندوق س.کالای کهکشان فیروزه,2025-05-19 12:00:00+03:30,2025-05-19,11613.0,11669.0,-0.4799040191961607
آتش,صندوق س.کالای کهکشان فیروزه,2025-05-20 12:00:00+03:30,2025-05-20,12240.0,12223.0,0.1390820584144645
آتش,صندوق س.کالای کهکشان فیروزه,2025-05-21 12:00:00+03:30,2025-05-21,12180.0,12295.0,-0.9353395689304594
آتش,صندوق س.کالای کهکشان فیروزه,2025-05-24 12:00:00+03:30,2025-05-24,12205.0,12128.0,0.6348944591029024
آتش,صندوق س.کالای کهکشان فیروزه,2025-05-25 12:00:00+03:30,2025-05-25,12149.0,12135.0,0.11536876802637
آتش,صندوق س.کالای کهکشان فیروزه,2025-05-26 12:00:00+03:30,2025-05-26,11900.0,11991.0,-0.7589025102159953
آتش,صندوق س.کالای کهکشان فیروزه,2025-05-27 12:00:00+03:30,2025-05-27,11998.0,12004.0,-0.0499833388870376
آتش,صندوق س.کالای کهکشان فیروزه,2025-05-28 12:00:00+03:30,2025-05-28,12010.0,12058.0,-0.3980759661635429
آتش,صندوق س.کالای کهکشان فیروزه,2025-05-31 12:00:00+03:30,2025-05-31,11935.0,11924.0,0.092250922509225
آتش,صندوق س.کالای کهکشان فیروزه,2025-06-01 12:00:00+03:30,2025-06-01,11877.0,11839.0,0.3209730551566855
آتش,صندوق س.کالای کهکشان فیروزه,2025-06-02 12:00:00+03:30,2025-06-02,12094.0,12059.0,0.2902396550294386
آتش,صندوق س.کالای کهکشان فیروزه,2025-06-03 12:00:00+03:30,2025-06-03,12110.0,12149.0,-0.3210140752325294
آتش,صندوق س.کالای کهکشان فیروزه,2025-06-07 12:00:00+03:30,2025-06-07,12130.0,11984.0,1.2182910547396528
آتش,صندوق س.کالای کهکشان فیروزه,2025-06-08 12:00:00+03:30,2025-06-08,12104.0,12065.0,0.3232490675507667
آتش,صندوق س.کالای کهکشان فیروزه,2025-06-09 12:00:00+03:30,2025-06-09,12272.0,12214.0,0.4748649091206812
آتش,صندوق س.کالای کهکشان فیروزه,2025-06-10 12:00:00+03:30,2025-06-10,12050.0,11992.0,0.4836557705136758
آتش,صندوق س.کالای کهکشان فیروزه,2025-06-11 12:00:00+03:30,2025-06-11,12230.0,12266.0,-0.293494211641937
آتش,صندوق س.کالای کهکشان فیروزه,2025-06-28 12:00:00+03:30,2025-06-28,12463.0,12552.0,-0.7090503505417464
آتش,صندوق س.کالای کهکشان فیروزه,2025-06-29 12:00:00+03:30,2025-06-29,13185.0,13120.0,0.4954268292682927
آتش,صندوق س.کالای کهکشان فیروزه,2025-06-30 12:00:00+03:30,2025-06-30,13792.0,13629.0,1.195979162080857
آتش,صندوق س.کالای کهکشان فیروزه,2025-07-01 12:00:00+03:30,2025-07-01,13849.0,13911.0,-0.445690460786428
آتش,صندوق س.کالای کهکشان فیروزه,2025-07-02 12:00:00+03:30,2025-07-02,13828.0,13814.0,0.1013464601129289
آتش,صندوق س.کالای کهکشان فیروزه,2025-07-07 12:00:00+03:30,2025-07-07,13299.0,13306.0,-0.0526078460844731
آتش,صندوق س.کالای کهکشان فیروزه,2025-07-08 12:00:00+03:30,2025-07-08,13119.0,13155.0,-0.2736602052451539
آتش,صندوق س.کالای کهکشان فیروزه,2025-07-09 12:00:00+03:30,2025-07-09,13110.0,13031.0,0.6062466426214411
آتش,صندوق س.کالای کهکشان فیروزه,2025-07-12 12:00:00+03:30,2025-07-12,12946.0,13058.0,-0.8577117475876858
آتش,صندوق س.کالای کهکشان فیروزه,2025-07-13 12:00:00+03:30,2025-07-13,13403.0,13271.0,0.9946499886971591
آتش,صندوق س.کالای کهکشان فیروزه,2025-07-14 12:00:00+03:30,2025-07-14,13377.0,13365.0,0.0897867564534231
آتش,صندوق س.کالای کهکشان فیروزه,2025-07-15 12:00:00+03:30,2025-07-15,13322.0,13293.0,0.2181599337997442
آتش,صندوق س.کالای کهکشان فیروزه,2025-07-16 12:00:00+03:30,2025-07-16,13432.0,13369.0,0.4712394345126786
آتش,صندوق س.کالای کهکشان فیروزه,2025-07-19 12:00:00+03:30,2025-07-19,13210.0,13198.0,0.0909228671010759
آتش,صندوق س.کالای کهکشان فیروزه,2025-07-20 12:00:00+03:30,2025-07-20,13049.0,13030.0,0.145817344589409
آتش,صندوق س.کالای کهکشان فیروزه,2025-07-21 12:00:00+03:30,2025-07-21,13210.0,13215.0,-0.0378357926598562
